Software Version            : FRANz 1.2.3
Dataset                     : TESTTREES
Time of Data Analysis       : Fri Mar 10 14:45:34 2023


*** MCMC Parameters ***

Seed                         : 1678488332
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 899
  Initial temperature c0     : 69.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 170
  Nmmax                      : 170

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         72 |     191417 |   -213.074 |   -285.390 |   13.941 |    7.406 |  0.59 |   0.659 |   0.659 |      0 |
 |         73 |     194113 |   -213.074 |   -271.716 |   16.802 |    7.283 |  0.60 |   0.622 |   0.622 |      0 |
 |         74 |     196809 |   -213.074 |   -285.486 |   11.932 |    7.184 |  0.60 |   1.568 |   1.568 |      0 |
 |         75 |     199505 |   -213.074 |   -274.892 |   19.271 |    7.049 |  0.63 |   3.042 |   3.042 |      0 |
 |         76 |     202201 |   -213.074 |   -275.613 |   13.157 |    6.968 |  0.61 |   3.254 |   3.254 |      0 |
 |         77 |     204897 |   -213.074 |   -280.382 |   13.082 |    6.853 |  0.60 |   3.712 |   3.712 |      0 |
 |         78 |     207593 |   -213.074 |   -276.602 |   18.707 |    6.741 |  0.60 |   2.418 |   2.418 |      0 |
 |         79 |     210289 |   -213.074 |   -270.530 |   16.367 |    6.665 |  0.60 |   1.621 |   1.621 |      0 |
 |         80 |     212985 |   -213.074 |   -270.654 |   15.019 |    6.579 |  0.60 |   1.593 |   1.593 |      0 |
 |         81 |     215681 |   -213.074 |   -274.867 |   19.179 |    6.489 |  0.59 |   3.981 |   3.981 |      0 |
 |         82 |     218377 |   -213.074 |   -273.388 |   12.383 |    6.420 |  0.59 |   0.584 |   0.584 |      0 |
 |         83 |     221073 |   -213.074 |   -269.024 |   18.378 |    6.316 |  0.59 |   0.461 |   0.461 |      0 |
 |         84 |     223769 |   -213.074 |   -268.770 |   13.140 |    6.248 |  0.59 |   2.201 |   2.201 |      0 |
 |         85 |     226465 |   -213.074 |   -279.532 |   19.455 |    6.155 |  0.58 |   0.375 |   0.375 |      0 |
 |         86 |     229161 |   -213.074 |   -266.571 |   17.595 |    6.094 |  0.59 |   3.505 |   3.505 |      0 |
 |         87 |     231857 |   -213.074 |   -267.411 |   16.684 |    6.027 |  0.58 |   3.198 |   3.198 |      0 |
 |         88 |     234553 |   -213.074 |   -266.312 |   18.657 |    5.959 |  0.58 |   1.837 |   1.837 |      0 |
 |         89 |     237249 |   -213.074 |   -267.153 |   16.104 |    5.899 |  0.58 |   3.070 |   3.070 |      0 |
 |         90 |     239945 |   -213.074 |   -263.126 |   18.789 |    5.831 |  0.58 |   1.807 |   1.807 |      0 |
 |         91 |     242641 |   -213.074 |   -272.305 |   18.903 |    5.774 |  0.59 |   3.573 |   3.573 |      0 |
 |         92 |     245337 |   -213.074 |   -270.645 |   17.832 |    5.719 |  0.57 |   3.098 |   3.098 |      0 |
 |         93 |     248033 |   -213.074 |   -268.509 |   14.681 |    5.661 |  0.57 |   1.922 |   1.922 |      0 |
 |         94 |     250729 |   -213.074 |   -269.459 |   19.129 |    5.593 |  0.59 |   0.975 |   0.975 |      0 |
 |         95 |     253425 |   -213.074 |   -269.339 |   18.589 |    5.541 |  0.57 |   1.269 |   1.269 |      0 |
 |         96 |     256121 |   -213.074 |   -284.523 |   19.117 |    5.489 |  0.56 |   2.110 |   2.110 |      0 |
 |         97 |     258817 |   -213.074 |   -263.111 |   14.127 |    5.440 |  0.59 |   2.712 |   2.712 |      0 |
 |         98 |     261513 |   -213.074 |   -261.216 |   16.199 |    5.374 |  0.58 |   0.957 |   0.957 |      0 |
 |         99 |     264209 |   -211.311 |   -255.602 |   15.418 |    5.318 |  0.56 |   2.101 |   2.101 |      0 |
 |        100 |     266905 |   -211.311 |   -261.338 |   13.209 |    5.260 |  0.56 |   2.961 |   2.961 |      0 |
 |        101 |     269601 |   -211.311 |   -269.719 |   15.022 |    5.194 |  0.57 |   3.093 |   3.093 |      0 |
 |        102 |     272297 |   -211.311 |   -261.100 |   18.153 |    5.138 |  0.57 |   1.986 |   1.986 |      0 |
 |        103 |     274993 |   -211.311 |   -264.664 |   14.843 |    5.092 |  0.57 |   2.621 |   2.621 |      0 |
 |        104 |     277689 |   -211.311 |   -270.825 |   18.044 |    5.037 |  0.58 |   0.329 |   0.329 |      0 |
 |        105 |     280385 |   -211.311 |   -264.556 |   15.473 |    4.993 |  0.56 |   1.238 |   1.238 |      0 |
 |        106 |     283081 |   -211.311 |   -261.320 |   14.031 |    4.942 |  0.56 |   2.596 |   2.596 |      0 |
 |        107 |     285777 |   -211.311 |   -254.543 |   14.051 |    4.888 |  0.56 |   3.064 |   3.064 |      0 |
 |        108 |     288473 |   -211.311 |   -260.605 |   17.428 |    4.834 |  0.55 |   0.378 |   0.378 |      0 |
 |        109 |     291169 |   -211.311 |   -264.604 |   16.310 |    4.792 |  0.55 |   2.189 |   2.189 |      0 |
 |        110 |     293865 |   -211.311 |   -262.743 |   17.435 |    4.748 |  0.58 |   2.827 |   2.827 |      0 |
 |        111 |     296561 |   -211.311 |   -271.436 |   18.072 |    4.707 |  0.57 |   0.383 |   0.383 |      0 |
 |        112 |     299257 |   -211.311 |   -253.087 |   14.218 |    4.668 |  0.55 |   3.527 |   3.527 |      0 |
 |        113 |     301953 |   -210.835 |   -246.766 |   14.806 |    4.620 |  0.55 |   2.135 |   2.135 |      0 |
 |        114 |     304649 |   -209.841 |   -249.263 |   16.038 |    4.575 |  0.59 |   0.866 |   0.866 |      0 |
 |        115 |     307345 |   -209.841 |   -253.100 |   12.627 |    4.534 |  0.54 |   3.575 |   3.575 |      0 |
 |        116 |     310041 |   -209.841 |   -263.536 |   14.855 |    4.483 |  0.56 |   3.197 |   3.197 |      0 |
 |        117 |     312737 |   -209.841 |   -266.829 |   20.591 |    4.440 |  0.54 |   0.813 |   0.813 |      0 |
 |        118 |     315433 |   -209.841 |   -256.249 |   19.724 |    4.410 |  0.54 |   3.659 |   3.659 |      0 |
 |        119 |     318129 |   -209.841 |   -266.376 |   15.093 |    4.379 |  0.55 |   1.362 |   1.362 |      0 |
