Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3019,10,,,,,0.000000E+00,0.6632,10,0,95,95,,,<
TV3020,9,,,,,0.000000E+00,0.4257,9,0,93,93,,,<
TV3021,10,,,,,0.000000E+00,0.7326,10,0,95,95,,,<
TV3022,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3023,10,,,,,0.000000E+00,0.9848,10,0,95,95,,,<
TV3024,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3025,9,,,,,0.000000E+00,0.9762,9,0,93,93,,,<
TV3026,9,TV3036,10,TV3030,10,2.500284E+01,0.8238,10,0,95,95,9.031646E+00,1.319445E+01,<
TV3027,10,TV3030,10,,,8.922238E+00,0.5220,10,0,95,95,8.922238E+00,
TV3028,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3029,10,TV3026,9,,,1.217601E+01,0.8599,10,0,95,95,1.217601E+01,,<
TV3030,10,,,,,0.000000E+00,0.4262,10,0,95,95,,
TV3031,8,,,,,0.000000E+00,0.4700,8,0,91,91,,
TV3032,9,,,,,0.000000E+00,0.8182,9,0,94,94,,,<
TV3033,9,,,,,0.000000E+00,0.5007,10,0,93,93,,,<
TV3034,8,TV3033,9,,,9.155091E+00,0.4954,10,1,93,93,9.155091E+00,,<
TV3035,10,,,,,0.000000E+00,0.8665,10,0,95,95,,,<
TV3036,10,,,,,0.000000E+00,0.8120,10,0,95,95,,,<
TV3037,10,TV3038,6,,,9.564773E+00,0.5758,10,0,95,95,9.564773E+00,,<
TV3038,6,,,,,0.000000E+00,0.5548,6,0,61,61,,,<
TV3041,10,,,,,0.000000E+00,0.7676,10,0,95,95,,,<
TV3042,10,TV3049,10,,,1.028808E+01,0.4714,10,0,95,95,1.028808E+01,
TV3043,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV3044,10,,,,,0.000000E+00,0.9998,10,0,95,95,,,<
TV3045,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3046,9,,,,,0.000000E+00,0.9862,9,0,94,94,,,<
TV3047,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV3048,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
