Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4786,10,TV4795,10,,,8.807118E+00,0.4192,10,0,128,128,8.807118E+00,
TV4789,10,TV4803,10,,,1.296119E+01,0.3758,10,0,128,128,1.296119E+01,
TV4790,10,,,,,0.000000E+00,0.9720,10,0,128,128,,,<
TV4791,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4793,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4795,10,TV4786,10,,,8.807118E+00,0.5626,10,0,128,128,8.807118E+00,,<
TV4796,10,,,,,0.000000E+00,0.3839,10,0,128,128,,
TV4797,10,,,,,0.000000E+00,0.5714,10,0,128,128,,
TV4798,10,,,,,0.000000E+00,0.5390,10,0,128,128,,
TV4800,10,,,,,0.000000E+00,0.9996,10,0,128,128,,,<
TV4802,10,TV4803,10,TV4789,10,2.831452E+01,0.4684,10,0,128,128,1.684027E+01,1.296119E+01
TV4803,10,TV4802,10,TV4789,10,2.831452E+01,0.4299,10,0,128,128,1.684027E+01,1.296119E+01,<
TV4804,10,,,,,0.000000E+00,0.9046,10,0,128,128,,,<
TV4805,10,TV4803,10,,,7.703882E+00,0.4145,10,0,128,128,7.703882E+00,
TV4807,9,TV4803,10,,,9.969079E+00,0.4019,9,0,126,126,9.969079E+00,
TV4808,6,,,,,0.000000E+00,0.6237,7,0,106,106,,,<
TV4809,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4810,10,,,,,0.000000E+00,0.8971,10,0,128,128,,,<
TV4811,10,TV4826,9,,,1.512574E+01,0.6223,10,0,128,128,1.512574E+01,,<
TV4812,9,,,,,0.000000E+00,1.0000,10,0,126,126,,,<
TV4813,9,TV4815,9,TV4760,10,2.351569E+01,0.4743,9,0,126,126,1.394774E+01,8.692861E+00
TV4814,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4815,9,TV4813,9,TV4760,10,2.351569E+01,0.4727,9,0,126,126,1.394774E+01,8.692861E+00,<
TV4816,8,,,,,0.000000E+00,0.9999,9,0,124,124,,,<
TV4818,9,,,,,0.000000E+00,0.8258,10,0,126,126,,,<
TV4819,9,,,,,0.000000E+00,0.9710,9,0,124,124,,,<
TV4821,10,,,,,0.000000E+00,0.5977,10,0,128,128,,,<
TV4822,9,,,,,0.000000E+00,0.9849,10,0,126,126,,,<
TV4823,10,TV4810,10,TV4796,10,2.220008E+01,0.8545,10,1,128,128,3.195280E+00,1.465620E+01,<
TV4824,10,,,,,0.000000E+00,0.9994,10,0,128,128,,,<
TV4826,9,TV4811,10,,,1.512574E+01,0.3730,10,0,126,126,1.512574E+01,
TV4827,9,,,,,0.000000E+00,0.9960,9,0,124,124,,,<
TV4828,9,,,,,0.000000E+00,0.9467,9,0,124,124,,,<
TV4830,10,TV4833,10,,,9.734443E+00,0.4772,10,0,128,128,9.734443E+00,,<
TV4833,10,TV4830,10,,,9.734443E+00,0.5130,10,0,128,128,9.734443E+00,
TV4834,9,,,,,0.000000E+00,1.0000,10,0,126,126,,,<
TV4835,10,TV4796,10,,,5.802430E+00,0.5059,10,2,128,128,5.802430E+00,,<
TV4838,10,,,,,0.000000E+00,0.9825,10,0,128,128,,,<
TV4839,10,,,,,0.000000E+00,0.8259,10,0,128,128,,,<
TV5001,9,,,,,0.000000E+00,0.9985,9,0,124,124,,,<
TV5022,6,,,,,0.000000E+00,0.5703,6,0,100,100,,,<
TV5025,10,,,,,0.000000E+00,0.7262,10,0,128,128,,,<
TV5026,10,,,,,0.000000E+00,0.7303,10,0,128,128,,,<
TV5038,10,,,,,0.000000E+00,0.5925,10,0,128,128,,
TV5040,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5044,10,,,,,0.000000E+00,0.9853,10,0,128,128,,,<
TV5054,7,,,,,0.000000E+00,0.8843,7,0,121,121,,,<
TV5057,9,,,,,0.000000E+00,1.0000,10,0,126,126,,,<
TV5058,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5059,10,TV5061,10,TV5060,10,3.600247E+01,0.2774,10,0,128,128,1.933806E+01,1.933806E+01
TV5060,10,,,,,0.000000E+00,0.2291,10,0,128,128,,
TV5061,10,TV5060,10,TV5059,10,3.600247E+01,0.5477,10,0,128,128,1.933806E+01,1.933806E+01
TV5063,10,,,,,0.000000E+00,0.8005,10,0,128,128,,,<
TV5077,9,,,,,0.000000E+00,0.8420,10,0,125,125,,,<
TV5082,10,,,,,0.000000E+00,0.8248,10,0,128,128,,,<
TV5083,6,,,,,0.000000E+00,0.9713,7,0,86,86,,,<
TV5085,10,,,,,0.000000E+00,0.9450,10,0,128,128,,,<
TV5088,9,,,,,0.000000E+00,0.5588,9,0,126,126,,,<
TV5114,7,,,,,0.000000E+00,0.5761,7,0,120,120,,,<
TV5115,9,,,,,0.000000E+00,0.9638,10,0,126,126,,,<
TV5117,10,TV5119,10,,,7.098937E+00,0.5503,10,1,128,128,7.098937E+00,,<
TV5119,10,,,,,0.000000E+00,0.3900,10,0,128,128,,,<
TV5122,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5124,10,TV4517,10,,,9.418098E+00,0.4999,10,1,128,128,9.418098E+00,
TV5127,10,,,,,0.000000E+00,0.9670,10,0,128,128,,,<
TV5128,10,,,,,0.000000E+00,0.9554,10,0,128,128,,,<
TV5129,7,,,,,0.000000E+00,0.5084,7,0,119,119,,,<
TV5130,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5132,10,,,,,0.000000E+00,0.5300,10,0,128,128,,
TV5143,9,,,,,0.000000E+00,0.5637,9,0,126,126,,,<
TV5147,10,TV5148,7,,,1.293274E+01,0.5141,10,0,128,128,1.293274E+01,,<
TV5148,7,,,,,0.000000E+00,0.5143,7,0,121,121,,,<
TV5165,9,,,,,0.000000E+00,0.9913,10,0,125,125,,,<
TV5166,9,,,,,0.000000E+00,0.7595,9,0,126,126,,,<
TV5169,7,,,,,0.000000E+00,0.9668,7,0,121,121,,,<
TV5171,9,,,,,0.000000E+00,1.0000,9,0,125,125,,,<
TV5173,9,,,,,0.000000E+00,0.9771,10,0,126,126,,,<
TV5174,10,,,,,0.000000E+00,0.7131,10,0,128,128,,,<
TV5175,10,TV5176,9,,,1.741803E+01,0.5148,10,0,128,128,1.741803E+01,,<
TV5176,9,,,,,0.000000E+00,0.5156,9,0,124,124,,,<
TV5178,10,,,,,0.000000E+00,0.6988,10,0,128,128,,,<
TV5181,10,,,,,0.000000E+00,0.9652,10,0,128,128,,,<
TV5184,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5185,6,,,,,0.000000E+00,0.5479,7,0,104,104,,,<
TV5186,9,,,,,0.000000E+00,0.9997,9,0,126,126,,,<
TV5187,7,,,,,0.000000E+00,0.9655,7,0,121,121,,,<
TV5189,9,,,,,0.000000E+00,0.9938,10,0,126,126,,,<
TV5190,6,,,,,0.000000E+00,0.9417,6,0,94,94,,,<
TV5192,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5194,10,,,,,0.000000E+00,0.7117,10,0,128,128,,,<
TV5196,10,,,,,0.000000E+00,0.9745,10,0,128,128,,,<
TV5197,10,,,,,0.000000E+00,0.9730,10,0,128,128,,,<
TV5198,10,,,,,0.000000E+00,0.9580,10,0,128,128,,,<
TV5199,7,,,,,0.000000E+00,0.7468,7,0,120,120,,,<
TV5200,10,,,,,0.000000E+00,0.3324,10,0,128,128,,,<
TV5203,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5204,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5207,10,,,,,0.000000E+00,0.9765,10,0,128,128,,,<
TV5209,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5219,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5227,9,TV4290,9,,,8.231104E+00,0.5814,10,1,126,126,8.231104E+00,,<
TV5230,10,,,,,0.000000E+00,0.9883,10,0,128,128,,,<
TV5231,10,,,,,0.000000E+00,0.8816,10,0,128,128,,,<
TV5232,10,TV5227,9,,,8.457119E+00,0.8008,10,0,128,128,8.457119E+00,,<
TV5233,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5234,9,,,,,0.000000E+00,0.9557,10,0,126,126,,,<
TV5235,10,,,,,0.000000E+00,0.5939,10,0,128,128,,
TV5238,9,TV4290,9,,,1.445188E+01,0.8504,10,0,126,126,1.445188E+01,,<
TV5242,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5243,10,,,,,0.000000E+00,0.9221,10,0,128,128,,,<
TV5245,8,,,,,0.000000E+00,0.7595,8,0,121,121,,,<
TV5247,10,,,,,0.000000E+00,0.6722,10,0,128,128,,,<
TV5249,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV5250,10,,,,,0.000000E+00,0.5965,10,0,128,128,,,<
TV5259,10,TV5262,10,,,1.185261E+01,0.5010,10,0,128,128,1.185261E+01,
