Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:51:52 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV5197         0.1475 %
TV5207         0.1454 %
TV5216         0.4198 %
TV5231         0.0524 %
TV5241         0.1585 %
TV5244         0.0764 %
TV5251         0.0682 %
TV5257         0.6398 %
TV5268         0.5876 %
TV5280         0.3195 %
TV5294         0.0611 %
TV5310         0.0785 %
TV5313         0.3819 %

TOTAL: 102

*** Locus 6 ***

TV2003         0.0532 %
TV2004         0.1266 %
TV2005         0.8443 %
TV2041         0.1551 %
TV2269         0.2355 %
TV2282         0.1778 %
TV2527         0.5405 %
TV2753         0.2921 %
TV2780         0.2022 %
TV2788         0.6452 %
TV2789         0.0636 %
TV3005         0.0973 %
TV3034         0.2370 %
TV3051         0.1263 %
TV3054         0.2472 %
TV3204         0.0829 %
TV3211         0.1810 %
TV3212         0.2841 %
TV3213         0.0933 %
TV3234         0.0521 %
TV4266         0.2028 %
TV4275         0.0748 %
TV4282         0.0645 %
TV4291         0.0923 %
TV4298         0.3747 %
TV4305         0.1561 %
TV4314         0.4031 %
TV4315         0.2339 %
TV4318         0.6904 %
TV4509         0.4982 %
TV4523         0.3594 %
TV4536         0.7318 %
TV4542         0.1849 %
TV4551         0.3021 %
TV4553         0.5232 %
TV4554         0.4652 %
TV4556         0.1034 %
TV4569         0.4738 %
TV4756         0.0645 %
TV4758         0.0550 %
TV4779         0.0945 %
TV4781         0.3967 %
TV4821         0.1080 %
TV4822         0.0828 %
TV4825         0.1697 %
TV4839         0.8554 %
TV5024         0.1070 %
TV5028         0.5712 %
TV5029         0.4913 %
TV5032         0.4796 %
TV5033         0.2049 %
TV5052         0.1286 %
TV5088         0.0568 %
TV5124         0.1061 %
TV5128         0.2791 %
TV5138         0.2201 %
TV5186         0.1872 %
TV5217         0.1384 %
TV5235         0.3445 %
TV5241         0.5569 %
TV5242         0.1977 %
TV5243         0.2804 %
TV5247         0.1005 %
TV5249         0.9428 %
TV5253         0.0662 %
TV5257         0.6564 %
TV5259         0.1955 %
TV5282         0.1450 %
TV5283         0.1580 %
TV5304         0.2083 %

TOTAL: 70

*** Locus 7 ***

TV2065         0.1011 %
TV2798         0.1198 %
TV3031         0.4074 %
TV3035         0.0630 %
TV3215         0.5640 %
TV3216         0.4619 %
TV3225         0.2351 %
TV4268         0.0705 %
TV4269         0.1332 %
TV4273         0.1362 %
TV4275         0.0599 %
TV4298         0.0525 %
TV4308         0.2107 %
TV4314         0.1175 %
TV4319         0.1708 %
TV4507         0.2922 %
TV4516         0.6018 %
TV4517         0.2157 %
TV4526         0.0855 %
TV4531         0.0932 %
TV4540         0.1830 %
TV4546         0.0747 %
TV4571         0.2807 %
TV4767         0.0583 %
TV4770         0.0637 %
TV4775         0.0590 %
TV4780         0.1836 %
TV4783         0.0818 %
TV4796         0.1306 %
TV4810         0.1011 %
TV4821         0.3100 %
TV4829         0.2114 %
TV5025         0.3994 %
TV5026         0.4096 %
TV5047         0.0874 %
TV5115         0.2938 %
TV5127         0.0597 %
TV5166         0.0965 %
TV5169         0.0755 %
TV5172         0.5209 %
TV5175         0.4227 %
TV5235         0.2554 %
TV5241         0.1076 %
TV5244         0.0776 %
TV5245         0.1997 %
TV5247         0.1005 %
TV5250         0.4111 %
TV5251         0.4488 %
TV5257         0.7748 %
TV5258         0.2732 %
TV5262         0.7206 %
TV5263         0.1386 %
TV5281         0.1761 %
TV5288         0.4606 %
TV5292         0.1201 %
TV5306         0.9694 %

TOTAL: 56

*** Locus 8 ***

TV2017         0.0638 %
TV2080         0.4113 %
TV2265         0.0982 %
TV2290         0.0507 %
TV2293         0.2411 %
TV2506         0.1488 %
TV2764         0.3491 %
TV2773         0.2430 %
TV3001         0.0861 %
TV3010         0.5715 %
TV3017         0.0881 %
TV3032         0.0986 %
TV3037         0.1849 %
TV3041         0.4365 %
TV3042         0.3658 %
TV3051         0.1753 %
TV3208         0.8595 %
TV3212         0.2007 %
TV3213         0.0933 %
TV3229         0.3061 %
TV3231         0.1151 %
TV3233         0.0846 %
TV3235         0.0878 %
TV3240         0.2677 %
TV4267         0.7400 %
TV4273         0.0530 %
TV4277         0.3232 %
TV4283         0.0750 %
TV4284         0.1202 %
TV4288         0.9564 %
TV4300         0.0551 %
TV4301         0.0822 %
TV4305         0.1561 %
TV4314         0.0521 %
TV4316         0.9914 %
TV4319         0.1708 %
TV4322         0.0776 %
TV4522         0.4643 %
TV4524         0.9404 %
TV4533         0.0760 %
TV4549         0.6205 %
TV4569         0.4965 %
TV4571         0.2807 %
TV4755         0.0531 %
TV4757         0.1197 %
TV4781         0.3963 %
TV4796         0.1306 %
TV4802         0.0670 %
TV4818         0.0966 %
TV4821         0.2493 %
TV4833         0.3411 %
TV5059         0.1636 %
