Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3002,10,,,,,0.000000E+00,0.9901,10,0,338,338,,,<
TV3003,9,,,,,0.000000E+00,0.9056,9,0,330,330,,,<
TV3005,7,,,,,0.000000E+00,0.4873,7,0,311,311,,,<
TV3006,10,,,,,0.000000E+00,0.9933,10,0,338,338,,,<
TV3007,10,,,,,0.000000E+00,0.9716,10,0,338,338,,,<
TV3008,10,TV3010,10,,,1.496291E+01,0.7541,10,0,338,338,1.496291E+01,
TV3009,10,,,,,0.000000E+00,0.9805,10,0,338,338,,,<
TV3010,10,TV3020,9,TV3017,10,2.284313E+01,0.4995,10,1,338,338,1.261074E+01,8.649745E+00
TV3011,10,TV3231,10,,,7.044094E+00,0.3961,10,1,338,338,7.044094E+00,,<
TV3012,9,,,,,0.000000E+00,0.5512,9,0,331,331,,,<
TV3013,10,,,,,0.000000E+00,0.8965,10,0,338,338,,,<
TV3014,10,,,,,0.000000E+00,0.9968,10,0,338,338,,,<
TV3015,10,,,,,0.000000E+00,0.9936,10,0,338,338,,,<
TV3016,10,,,,,0.000000E+00,0.5820,10,0,338,338,,,<
TV3017,10,TV3001,10,TV2271,8,1.939803E+01,0.6926,10,1,338,338,6.623091E+00,9.981074E+00,<
TV3018,9,,,,,0.000000E+00,0.9952,10,0,331,331,,,<
TV3019,10,,,,,0.000000E+00,0.5750,10,0,338,338,,,<
TV3020,9,,,,,0.000000E+00,0.3407,9,0,332,332,,
TV3021,10,,,,,0.000000E+00,0.5492,10,0,338,338,,
TV3022,10,TV5041,10,,,5.780288E+00,0.5712,10,1,338,338,5.780288E+00,,<
TV3023,10,,,,,0.000000E+00,0.9078,10,0,338,338,,,<
TV3024,10,,,,,0.000000E+00,0.9372,10,0,338,338,,,<
TV3025,9,,,,,0.000000E+00,0.2650,9,0,332,332,,
TV3026,9,TV3036,10,TV3030,10,2.901673E+01,0.6765,10,0,336,336,1.072504E+01,1.568046E+01,<
TV3027,10,TV4322,7,TV3030,10,1.730758E+01,0.4918,10,0,338,338,2.815208E+00,1.158432E+01,<
TV3028,10,,,,,0.000000E+00,0.9843,10,0,338,338,,,<
TV3029,10,TV3026,9,,,1.487245E+01,0.7695,10,0,338,338,1.487245E+01,,<
TV3030,10,,,,,0.000000E+00,0.3837,10,0,338,338,,,<
TV3031,8,TV3049,10,TV3041,10,1.217276E+01,0.4074,8,2,316,316,3.462175E+00,6.682159E+00,<
TV3032,9,TV5051,6,,,1.065510E+01,0.7180,9,0,335,335,1.065510E+01,,<
TV3033,9,TV3034,7,TV3034,7,2.582140E+01,0.9549,10,0,332,332,1.493346E+01,1.493346E+01,<
TV3034,7,,,,,0.000000E+00,0.4153,10,0,311,311,,
TV3035,10,,,,,0.000000E+00,0.8583,10,0,338,338,,,<
TV3036,10,,,,,0.000000E+00,0.6048,10,0,338,338,,,<
TV3037,10,,,,,0.000000E+00,0.3641,10,0,338,338,,
TV3038,6,,,,,0.000000E+00,0.2847,6,0,240,240,,,<
TV3041,10,TV5080,9,,,5.407257E+00,0.4194,10,1,338,338,5.407257E+00,,<
TV3042,10,,,,,0.000000E+00,0.4730,10,0,338,338,,
TV3043,9,TV5116,7,,,5.907229E+00,0.4513,9,0,331,331,5.907229E+00,,<
TV3044,10,,,,,0.000000E+00,0.9905,10,0,338,338,,,<
TV3045,10,,,,,0.000000E+00,0.9701,10,0,338,338,,,<
TV3046,9,,,,,0.000000E+00,0.8513,9,0,335,335,,,<
TV3047,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3048,10,,,,,0.000000E+00,0.9757,10,0,338,338,,,<
TV3049,10,TV3240,10,TV3042,10,2.617537E+01,0.8485,10,0,338,338,1.183271E+01,1.281337E+01,<
TV3050,10,TV3055,10,,,1.300183E+01,0.4415,10,1,338,338,1.300183E+01,,<
TV3051,10,,,,,0.000000E+00,0.6635,10,0,338,338,,,<
TV3052,9,,,,,0.000000E+00,0.8693,10,0,332,332,,,<
TV3053,8,,,,,0.000000E+00,0.6148,8,0,320,320,,,<
TV3054,8,,,,,0.000000E+00,0.7528,9,0,320,320,,,<
TV3055,10,,,,,0.000000E+00,0.4859,10,0,338,338,,,<
TV3056,10,TV3055,10,TV3049,10,1.936955E+01,0.8909,10,2,338,338,6.566377E+00,1.030309E+01,<
TV3201,9,,,,,0.000000E+00,0.5073,9,0,330,330,,
TV3202,10,TV3203,10,TV3203,10,2.540966E+01,0.9454,10,1,338,338,1.517963E+01,1.517963E+01,<
TV3203,10,,,,,0.000000E+00,0.7563,10,0,338,338,,
TV3204,10,,,,,0.000000E+00,0.8324,10,0,338,338,,,<
TV3205,9,,,,,0.000000E+00,0.9714,10,0,336,336,,,<
TV3206,10,,,,,0.000000E+00,0.9941,10,0,338,338,,,<
TV3208,10,TV5073,10,TV3214,10,1.252867E+01,0.8159,10,3,338,338,2.133608E+00,3.719307E+00,<
TV3209,10,TV3011,10,,,7.576859E+00,0.7704,10,1,338,338,7.576859E+00,,<
TV3210,9,,,,,0.000000E+00,0.5784,10,0,331,331,,,<
TV3211,10,TV3213,10,,,1.033990E+01,0.4632,10,1,338,338,1.033990E+01,,<
TV3212,9,,,,,0.000000E+00,0.2245,9,0,330,330,,
TV3213,10,TV3211,10,,,1.033990E+01,0.4831,10,1,338,338,1.033990E+01,
TV3214,10,,,,,0.000000E+00,0.9641,10,0,338,338,,,<
TV3215,9,,,,,0.000000E+00,0.4000,9,0,332,332,,
TV3216,9,,,,,0.000000E+00,0.3150,9,0,332,332,,,<
TV3217,10,,,,,0.000000E+00,0.9910,10,0,338,338,,,<
TV3218,10,TV5280,10,,,7.121306E+00,0.5386,10,1,338,338,7.121306E+00,,<
TV3219,10,,,,,0.000000E+00,0.7632,10,0,338,338,,,<
TV3220,10,,,,,0.000000E+00,0.8672,10,0,338,338,,,<
TV3221,10,,,,,0.000000E+00,0.5871,10,0,338,338,,
TV3222,10,TV3223,10,,,8.532678E+00,0.5345,10,1,338,338,8.532678E+00,
TV3223,10,,,,,0.000000E+00,0.4524,10,0,338,338,,
TV3224,10,,,,,0.000000E+00,0.8289,10,0,338,338,,,<
TV3225,9,,,,,0.000000E+00,0.7649,9,0,330,330,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3227,10,,,,,0.000000E+00,0.5773,10,0,338,338,,
TV3228,10,TV4755,10,,,8.270735E+00,0.2968,10,2,338,338,8.270735E+00,
TV3229,10,,,,,0.000000E+00,0.6939,10,0,338,338,,,<
TV3230,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3231,10,TV3017,10,,,7.166105E+00,0.4466,10,1,338,338,7.166105E+00,,<
TV3232,9,,,,,0.000000E+00,0.9695,10,0,336,336,,,<
TV3233,10,,,,,0.000000E+00,0.8921,10,0,338,338,,,<
TV3234,10,TV5059,10,,,1.271140E+01,0.5483,10,1,338,338,1.271140E+01,,<
TV3235,7,,,,,0.000000E+00,0.7925,7,0,309,309,,,<
TV3236,9,,,,,0.000000E+00,0.9591,10,0,332,332,,,<
TV3237,10,,,,,0.000000E+00,0.7245,10,0,338,338,,,<
TV3238,10,,,,,0.000000E+00,0.8085,10,0,338,338,,,<
TV3239,10,,,,,0.000000E+00,0.9049,10,0,338,338,,,<
TV3240,10,,,,,0.000000E+00,0.3321,10,0,338,338,,
TV3241,9,,,,,0.000000E+00,0.9803,9,0,331,331,,,<
