Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3028,10,,,,,0.000000E+00,0.9998,10,0,338,338,,,<
TV3029,10,TV3026,9,,,1.487245E+01,0.9469,10,0,338,338,1.487245E+01,,<
TV3030,10,,,,,0.000000E+00,0.4876,10,0,338,338,,
TV3031,8,,,,,0.000000E+00,0.8589,8,0,316,316,,,<
TV3032,9,TV5051,6,,,1.065510E+01,0.5731,9,0,335,335,1.065510E+01,,<
TV3033,9,TV3034,7,TV3034,7,2.582140E+01,0.6322,10,0,332,332,1.493346E+01,1.493346E+01,<
TV3034,7,,,,,0.000000E+00,0.6912,10,0,311,311,,,<
TV3035,10,,,,,0.000000E+00,0.9948,10,0,338,338,,,<
TV3036,10,,,,,0.000000E+00,0.8421,10,0,338,338,,,<
TV3037,10,,,,,0.000000E+00,0.5303,10,0,338,338,,
TV3038,6,,,,,0.000000E+00,0.4692,6,0,240,240,,,<
TV3041,10,,,,,0.000000E+00,0.8421,10,0,338,338,,,<
TV3042,10,,,,,0.000000E+00,0.5919,10,0,338,338,,,<
TV3043,9,,,,,0.000000E+00,0.8930,9,0,331,331,,,<
TV3044,10,,,,,0.000000E+00,0.9995,10,0,338,338,,,<
TV3045,10,,,,,0.000000E+00,0.9980,10,0,338,338,,,<
TV3046,9,,,,,0.000000E+00,0.9930,9,0,335,335,,,<
TV3047,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3048,10,,,,,0.000000E+00,0.9991,10,0,338,338,,,<
TV3049,10,TV3240,10,TV3042,10,2.617537E+01,0.4541,10,0,338,338,1.183271E+01,1.281337E+01,<
TV3050,10,TV3055,10,,,1.300183E+01,0.5042,10,1,338,338,1.300183E+01,
TV3051,10,,,,,0.000000E+00,0.9810,10,0,338,338,,,<
TV3052,9,,,,,0.000000E+00,0.9935,10,0,332,332,,,<
TV3053,8,,,,,0.000000E+00,0.9593,8,0,320,320,,,<
