Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr  5 14:15:32 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4286         0.0716 %
TV4288         0.8511 %
TV4300         0.0580 %
TV4305         0.1398 %
TV4316         0.9805 %
TV4319         0.0548 %
TV4522         0.2541 %
TV4524         0.8223 %
TV4533         0.9198 %
TV4549         0.3067 %
TV4569         0.3400 %
TV4571         0.1976 %
TV4757         0.1157 %
TV4781         0.2418 %
TV4796         0.0728 %
TV4821         0.1956 %
TV5059         0.0895 %
TV5080         0.0641 %
TV5175         0.1121 %
TV5199         0.0717 %
TV5241         0.0555 %
TV5243         0.1458 %
TV5246         0.0509 %
TV5249         0.8996 %
TV5251         0.4859 %
TV5254         0.3226 %
TV5257         0.0863 %
TV5274         0.3894 %
TV5280         0.3436 %

TOTAL: 46

*** Locus 9 ***

TV2003         0.2769 %
TV2026         0.1971 %
TV2053         0.2795 %
TV2055         0.4085 %
TV2062         0.4263 %
TV2078         0.0696 %
TV2090         0.0661 %
TV2257         0.0693 %
TV2285         0.2940 %
TV2302         0.3599 %
TV2504         0.2046 %
TV2774         0.2400 %
TV2788         0.5602 %
TV2798         0.0518 %
TV2810         0.4619 %
TV3011         0.5534 %
TV3022         0.4215 %
TV3211         0.1208 %
TV3212         0.2821 %
TV3223         0.0645 %
TV3224         0.0906 %
TV3228         0.2245 %
TV3231         0.2018 %
TV3235         0.0578 %
TV3238         0.0955 %
TV4254         0.4778 %
TV4258         0.3156 %
TV4261         0.1449 %
TV4265         0.7111 %
TV4278         0.7722 %
TV4284         0.8098 %
TV4287         0.1700 %
TV4290         0.0646 %
TV4293         0.3766 %
TV4302         0.2238 %
TV4309         0.2238 %
TV4311         0.0534 %
TV4502         0.5104 %
TV4503         0.2005 %
TV4505         0.2929 %
TV4522         0.0905 %
TV4523         0.2158 %
TV4539         0.1079 %
TV4546         0.1860 %
TV4555         0.0942 %
TV4567         0.1416 %
TV4752         0.7752 %
TV4757         0.6393 %
TV4758         0.0568 %
TV4760         0.0668 %
TV4769         0.8821 %
TV4774         0.6772 %
TV4779         0.6697 %
TV4784         0.0567 %
TV4795         0.1163 %
TV4797         0.3835 %
TV4802         0.1326 %
TV4819         0.2236 %
TV4822         0.1573 %
TV4828         0.1465 %
TV4837         0.1436 %
TV5041         0.1159 %
TV5057         0.1507 %
TV5063         0.1257 %
TV5065         0.0702 %
TV5077         0.2122 %
TV5112         0.0567 %
TV5124         0.1566 %
TV5128         0.0770 %
TV5180         0.1033 %
TV5185         0.0796 %
TV5205         0.3293 %
TV5215         0.1511 %
TV5217         0.3741 %
TV5220         0.4607 %
TV5225         0.3038 %
TV5235         0.1800 %
TV5236         0.4446 %
TV5241         0.0652 %
TV5245         0.0505 %
TV5246         0.0811 %
TV5248         0.5803 %
TV5251         0.4788 %
TV5255         0.5252 %
TV5258         0.1251 %
TV5259         0.0985 %
TV5277         0.3139 %
TV5280         0.0770 %
TV5286         0.2116 %
TV5300         0.1323 %
TV5311         0.7008 %

TOTAL: 91

*** Locus 10 ***

TV2293         0.1480 %
TV2762         0.3615 %
TV2792         0.0556 %
TV2796         0.0831 %
TV3035         0.0592 %
TV3051         0.1220 %
TV3222         0.4994 %
TV3223         0.5370 %
TV3237         0.1570 %
TV3244         0.1693 %
TV4251         0.7478 %
TV4252         0.7051 %
TV4266         0.4638 %
TV4272         0.0516 %
TV4273         0.1369 %
TV4275         0.1038 %
TV4288         0.8025 %
TV4290         0.2646 %
