Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3209,10,TV3011,10,,,7.576859E+00,0.6554,10,1,338,338,7.576859E+00,,<
TV3210,9,,,,,0.000000E+00,0.7482,10,0,331,331,,,<
TV3211,10,TV3213,10,,,1.033990E+01,0.4387,10,1,338,338,1.033990E+01,,<
TV3212,9,,,,,0.000000E+00,0.3132,9,0,330,330,,
TV3213,10,TV3211,10,,,1.033990E+01,0.5281,10,1,338,338,1.033990E+01,
TV3214,10,,,,,0.000000E+00,0.9638,10,0,338,338,,,<
TV3215,9,,,,,0.000000E+00,0.5021,9,0,332,332,,
TV3216,9,,,,,0.000000E+00,0.4134,9,0,332,332,,,<
TV3217,10,,,,,0.000000E+00,0.9992,10,0,338,338,,,<
TV3218,10,TV5280,10,,,7.121306E+00,0.5410,10,1,338,338,7.121306E+00,,<
TV3219,10,,,,,0.000000E+00,0.8595,10,0,338,338,,,<
TV3220,10,,,,,0.000000E+00,0.9405,10,0,338,338,,,<
TV3221,10,,,,,0.000000E+00,0.7162,10,0,338,338,,,<
TV3222,10,,,,,0.000000E+00,0.5006,10,0,338,338,,,<
TV3223,10,TV3222,10,,,8.532678E+00,0.4725,10,1,338,338,8.532678E+00,,<
TV3224,10,,,,,0.000000E+00,0.9094,10,0,338,338,,,<
TV3225,9,,,,,0.000000E+00,0.8814,9,0,330,330,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3227,10,,,,,0.000000E+00,0.6663,10,0,338,338,,,<
TV3228,10,TV4755,10,,,8.270735E+00,0.2622,10,2,338,338,8.270735E+00,
TV3229,10,,,,,0.000000E+00,0.8040,10,0,338,338,,,<
TV3230,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3231,10,TV3017,10,,,7.166105E+00,0.3837,10,1,338,338,7.166105E+00,,<
TV3232,9,,,,,0.000000E+00,0.9888,10,0,336,336,,,<
TV3233,10,,,,,0.000000E+00,0.9626,10,0,338,338,,,<
TV3234,10,TV5059,10,,,1.271140E+01,0.5022,10,1,338,338,1.271140E+01,,<
TV3235,7,,,,,0.000000E+00,0.9040,7,0,309,309,,,<
TV3236,9,,,,,0.000000E+00,0.9855,10,0,332,332,,,<
TV3237,10,,,,,0.000000E+00,0.8316,10,0,338,338,,,<
TV3238,10,,,,,0.000000E+00,0.8952,10,0,338,338,,,<
TV3239,10,,,,,0.000000E+00,0.9587,10,0,338,338,,,<
TV3240,10,,,,,0.000000E+00,0.4135,10,0,338,338,,,<
TV3241,9,,,,,0.000000E+00,0.9839,9,0,331,331,,,<
TV3243,9,,,,,0.000000E+00,0.6623,10,0,336,336,,,<
TV3244,10,,,,,0.000000E+00,0.8307,10,0,338,338,,,<
TV3245,10,,,,,0.000000E+00,0.9940,10,0,338,338,,,<
TV4251,10,TV5251,10,,,7.669973E+00,0.7478,10,2,338,338,7.669973E+00,,<
TV4252,9,TV5139,9,TV4305,9,2.588137E+01,0.6397,9,1,336,336,1.857452E+01,5.707073E+00,<
TV4253,6,TV4546,10,,,8.934555E+00,0.5355,6,0,274,274,8.934555E+00,,<
TV4254,9,TV5283,7,TV4503,10,1.280821E+01,0.3753,10,2,336,336,1.234621E+00,5.348873E+00,<
TV4255,10,TV5257,10,,,9.710897E+00,0.4314,10,1,338,338,9.710897E+00,
TV4256,10,TV5139,9,,,1.371764E+01,0.5447,10,0,338,338,1.371764E+01,,<
TV4257,10,,,,,0.000000E+00,0.9352,10,0,338,338,,,<
TV4258,9,TV4786,10,,,7.204857E+00,0.3895,9,0,330,330,7.204857E+00,
TV4259,9,TV4286,10,,,7.360439E+00,0.5453,10,1,336,336,7.360439E+00,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4261,10,TV4272,10,,,1.068747E+01,0.5726,10,1,338,338,1.068747E+01,
TV4262,9,TV4261,10,,,1.484262E+01,0.8994,10,0,332,332,1.484262E+01,
TV4263,10,,,,,0.000000E+00,0.9803,10,0,338,338,,,<
TV4264,10,,,,,0.000000E+00,0.9665,10,0,338,338,,,<
TV4265,10,TV4261,10,,,8.548329E+00,0.7110,10,1,338,338,8.548329E+00,,<
TV4266,10,TV4770,9,TV4256,10,1.117472E+01,0.3954,10,3,338,338,2.772156E+00,1.694758E+00
