Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3046,9,,,,,0.000000E+00,0.9285,9,0,335,335,,,<
TV3047,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3048,10,,,,,0.000000E+00,0.9870,10,0,338,338,,,<
TV3049,10,TV3240,10,TV3042,10,2.617537E+01,0.4958,10,0,338,338,1.183271E+01,1.281337E+01,<
TV3050,10,TV3055,10,,,1.300183E+01,0.4743,10,1,338,338,1.300183E+01,,<
TV3051,10,,,,,0.000000E+00,0.8103,10,0,338,338,,,<
TV3052,9,,,,,0.000000E+00,0.9355,10,0,332,332,,,<
TV3053,8,,,,,0.000000E+00,0.7196,8,0,320,320,,,<
TV3054,8,,,,,0.000000E+00,0.8419,9,0,320,320,,,<
TV3055,10,TV3050,10,,,1.300183E+01,0.4895,10,1,338,338,1.300183E+01,
TV3056,10,TV3055,10,TV3049,10,1.936955E+01,0.8751,10,2,338,338,6.566377E+00,1.030309E+01,<
TV3201,9,,,,,0.000000E+00,0.5370,9,0,330,330,,
TV3202,10,TV3203,10,TV3203,10,2.540966E+01,0.9349,10,1,338,338,1.517963E+01,1.517963E+01,<
TV3203,10,,,,,0.000000E+00,0.7583,10,0,338,338,,,<
TV3204,10,,,,,0.000000E+00,0.9229,10,0,338,338,,,<
TV3205,9,,,,,0.000000E+00,0.9831,10,0,336,336,,,<
TV3206,10,,,,,0.000000E+00,0.9988,10,0,338,338,,,<
TV3208,10,TV5073,10,TV3214,10,1.252867E+01,0.5756,10,3,338,338,2.133608E+00,3.719307E+00,<
TV3209,10,TV3011,10,,,7.576859E+00,0.6586,10,1,338,338,7.576859E+00,,<
TV3210,9,,,,,0.000000E+00,0.7280,10,0,331,331,,,<
TV3211,10,TV3213,10,,,1.033990E+01,0.4495,10,1,338,338,1.033990E+01,,<
TV3212,9,,,,,0.000000E+00,0.3273,9,0,330,330,,
TV3213,10,TV3211,10,,,1.033990E+01,0.5183,10,1,338,338,1.033990E+01,
TV3214,10,,,,,0.000000E+00,0.9574,10,0,338,338,,,<
TV3215,9,,,,,0.000000E+00,0.4940,9,0,332,332,,,<
TV3216,9,,,,,0.000000E+00,0.4133,9,0,332,332,,
TV3217,10,,,,,0.000000E+00,0.9970,10,0,338,338,,,<
TV3218,10,TV5280,10,,,7.121306E+00,0.5363,10,1,338,338,7.121306E+00,,<
TV3219,10,,,,,0.000000E+00,0.8709,10,0,338,338,,,<
TV3220,10,,,,,0.000000E+00,0.9208,10,0,338,338,,,<
TV3221,10,,,,,0.000000E+00,0.7119,10,0,338,338,,,<
TV3222,10,,,,,0.000000E+00,0.5087,10,0,338,338,,
TV3223,10,TV3222,10,,,8.532678E+00,0.4718,10,1,338,338,8.532678E+00,
TV3224,10,,,,,0.000000E+00,0.9051,10,0,338,338,,,<
TV3225,9,,,,,0.000000E+00,0.8754,9,0,330,330,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3227,10,,,,,0.000000E+00,0.6599,10,0,338,338,,,<
TV3228,10,TV4755,10,,,8.270735E+00,0.2837,10,2,338,338,8.270735E+00,
TV3229,10,,,,,0.000000E+00,0.8173,10,0,338,338,,,<
TV3230,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3231,10,TV3017,10,,,7.166105E+00,0.3600,10,1,338,338,7.166105E+00,,<
TV3232,9,,,,,0.000000E+00,0.9873,10,0,336,336,,,<
TV3233,10,,,,,0.000000E+00,0.9488,10,0,338,338,,,<
TV3234,10,TV5059,10,,,1.271140E+01,0.5046,10,1,338,338,1.271140E+01,,<
TV3235,7,,,,,0.000000E+00,0.9053,7,0,309,309,,,<
TV3236,9,,,,,0.000000E+00,0.9886,10,0,332,332,,,<
TV3237,10,,,,,0.000000E+00,0.8211,10,0,338,338,,,<
TV3238,10,,,,,0.000000E+00,0.8870,10,0,338,338,,,<
TV3239,10,,,,,0.000000E+00,0.9469,10,0,338,338,,,<
TV3240,10,,,,,0.000000E+00,0.4160,10,0,338,338,,,<
TV3241,9,,,,,0.000000E+00,0.9787,9,0,331,331,,,<
TV3243,9,,,,,0.000000E+00,0.6607,10,0,336,336,,,<
TV3244,10,,,,,0.000000E+00,0.8251,10,0,338,338,,,<
TV3245,10,,,,,0.000000E+00,0.9917,10,0,338,338,,,<
TV4251,10,TV5251,10,,,7.669973E+00,0.7444,10,2,338,338,7.669973E+00,,<
TV4252,9,TV5139,9,TV4305,9,2.588137E+01,0.5566,9,1,336,336,1.857452E+01,5.707073E+00,<
TV4253,6,TV4546,10,,,8.934555E+00,0.5512,6,0,274,274,8.934555E+00,,<
TV4254,9,TV5283,7,TV4503,10,1.280821E+01,0.3539,10,2,336,336,1.234621E+00,5.348873E+00,<
TV4255,10,TV5257,10,,,9.710897E+00,0.4334,10,1,338,338,9.710897E+00,
TV4256,10,TV5139,9,,,1.371764E+01,0.5664,10,0,338,338,1.371764E+01,
TV4257,10,,,,,0.000000E+00,0.9306,10,0,338,338,,,<
TV4258,9,TV4786,10,,,7.204857E+00,0.4067,9,0,330,330,7.204857E+00,
TV4259,9,TV4286,10,,,7.360439E+00,0.5725,10,1,336,336,7.360439E+00,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4261,10,TV4272,10,,,1.068747E+01,0.7443,10,1,338,338,1.068747E+01,,<
TV4262,9,TV4261,10,,,1.484262E+01,0.9271,10,0,332,332,1.484262E+01,,<
TV4263,10,,,,,0.000000E+00,0.9783,10,0,338,338,,,<
TV4264,10,,,,,0.000000E+00,0.9659,10,0,338,338,,,<
TV4265,10,TV4292,10,,,1.470107E+01,0.6401,10,0,338,338,1.470107E+01,
TV4266,10,TV4826,9,,,1.428372E+01,0.6115,10,0,338,338,1.428372E+01,,<
TV4267,10,TV5176,9,TV4282,10,1.513658E+01,0.5194,10,2,338,338,3.955684E+00,7.780854E+00,<
