Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr 12 15:47:27 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4545         0.6638 %
TV4547         0.3736 %
TV4549         0.4731 %
TV4556         0.3517 %
TV4757         0.0580 %
TV4769         0.4438 %
TV4808         0.1536 %
TV4818         0.1098 %
TV4821         0.2841 %
TV5002         0.5474 %
TV5023         0.3115 %
TV5025         0.3158 %
TV5026         0.2983 %
TV5032         0.2094 %
TV5037         0.5533 %
TV5041         0.0885 %
TV5059         0.0806 %
TV5064         0.1910 %
TV5112         0.5606 %
TV5113         0.2083 %
TV5116         0.1156 %
TV5124         0.5185 %
TV5139         0.0923 %
TV5140         0.0896 %
TV5166         0.1383 %
TV5167         0.0930 %
TV5168         0.1735 %
TV5169         0.3141 %
TV5174         0.2435 %
TV5177         0.5438 %
TV5178         0.2277 %
TV5197         0.0710 %
TV5207         0.0691 %
TV5216         0.3257 %
TV5241         0.2328 %
TV5251         0.0838 %
TV5257         0.4270 %
TV5268         0.5558 %
TV5280         0.2792 %
TV5313         0.2863 %

TOTAL: 76

*** Locus 6 ***

TV2004         0.1882 %
TV2005         0.7572 %
TV2041         0.0644 %
TV2269         0.1866 %
TV2282         0.1196 %
TV2527         0.4413 %
TV2753         0.1472 %
TV2780         0.1836 %
TV2788         0.5087 %
TV3034         0.1757 %
TV3051         0.0676 %
TV3054         0.1581 %
TV3203         0.1322 %
TV3211         0.1440 %
TV3212         0.1596 %
TV3213         0.0517 %
TV4266         0.1128 %
TV4275         0.0516 %
TV4291         0.0723 %
TV4298         0.2332 %
TV4305         0.1354 %
TV4314         0.3849 %
TV4315         0.2601 %
TV4318         0.5603 %
TV4509         0.4311 %
TV4523         0.2199 %
TV4536         0.6039 %
TV4542         0.1088 %
TV4551         0.1764 %
TV4553         0.4854 %
TV4554         0.4829 %
TV4556         0.1057 %
TV4569         0.3222 %
TV4781         0.2501 %
TV4787         0.0938 %
TV4821         0.0514 %
TV4822         0.0612 %
TV4825         0.0902 %
TV4839         0.6456 %
TV5024         0.0532 %
TV5028         0.5733 %
TV5029         0.4736 %
TV5032         0.3287 %
TV5033         0.1273 %
TV5052         0.0728 %
TV5124         0.0824 %
TV5128         0.1692 %
TV5186         0.1200 %
TV5217         0.0979 %
TV5235         0.4722 %
TV5241         0.4574 %
TV5242         0.1368 %
TV5243         0.1559 %
TV5249         0.8854 %
TV5251         0.0617 %
TV5257         0.5287 %
TV5259         0.1062 %
TV5282         0.0531 %
TV5283         0.1162 %
TV5304         0.2936 %

TOTAL: 60

*** Locus 7 ***

TV2065         0.0550 %
TV3031         0.2063 %
TV3215         0.4970 %
TV3216         0.3905 %
TV3225         0.1246 %
TV4269         0.0773 %
TV4273         0.0710 %
TV4275         0.0548 %
TV4308         0.2213 %
TV4314         0.0688 %
TV4319         0.0663 %
TV4507         0.0959 %
TV4516         0.4894 %
TV4517         0.2029 %
TV4531         0.0677 %
TV4540         0.0993 %
TV4571         0.1823 %
TV4767         0.0613 %
TV4775         0.0711 %
TV4780         0.0974 %
TV4796         0.0837 %
TV4821         0.2209 %
TV4829         0.1624 %
