Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:59:36 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4287         0.1528 %
TV4312         0.7648 %
TV4506         0.3181 %
TV4522         0.0562 %
TV4547         0.3719 %
TV4549         0.4782 %
TV4556         0.3308 %
TV5139         0.1773 %
TV5216         0.2950 %
TV5251         0.0629 %
TV5257         0.5031 %

TOTAL: 77

*** Locus 6 ***

TV3054         0.1543 %
TV3212         0.1473 %
TV4266         0.5934 %
TV4291         0.0609 %
TV4314         0.3703 %
TV4318         0.5527 %
TV4536         0.5913 %
TV4554         0.4774 %
TV4758         0.0672 %
TV4778         0.1052 %
TV4781         0.2336 %
TV4822         0.0545 %
TV4839         0.6354 %
TV5124         0.0674 %
TV5128         0.1719 %
TV5186         0.1100 %
TV5235         0.4687 %
TV5242         0.1358 %
TV5243         0.1459 %
TV5249         0.8677 %
TV5259         0.1081 %
TV2004         0.1791 %
TV2041         0.0517 %
TV2269         0.1118 %
TV2270         0.1121 %
TV2282         0.1035 %
TV2753         0.1237 %
TV2780         0.1939 %
TV2788         0.5162 %
TV3005         0.0651 %
TV3034         0.1212 %
TV3051         0.0797 %
TV3211         0.2045 %
TV3213         0.0507 %
TV4523         0.2103 %
TV4542         0.0824 %
TV4569         0.3391 %
TV5024         0.0763 %
TV5028         0.7627 %
TV5029         0.1972 %
TV5032         0.2645 %
TV5033         0.1997 %
TV5241         0.4712 %
TV2005         0.7664 %
TV2527         0.5417 %
TV4275         0.0518 %
TV4298         0.2447 %
TV4305         0.1282 %
TV4315         0.2611 %
TV4509         0.4503 %
TV4551         0.1603 %
TV4553         0.4843 %
TV4556         0.1169 %
TV4825         0.0902 %
TV5217         0.1124 %
TV5251         0.0649 %
TV5257         0.5322 %
TV5282         0.0555 %
TV5283         0.0964 %
TV5304         0.3083 %

TOTAL: 60

*** Locus 7 ***

TV4269         0.0796 %
TV4308         0.1544 %
TV4314         0.0735 %
TV4516         0.4768 %
TV4517         0.2132 %
TV4540         0.0854 %
TV4546         0.0712 %
TV4757         0.0556 %
TV4770         0.0584 %
TV4775         0.0699 %
TV4778         0.2876 %
TV4796         0.0937 %
TV4821         0.2269 %
TV5025         0.3032 %
TV5026         0.3321 %
TV5115         0.1810 %
TV5166         0.0506 %
TV5175         0.4670 %
TV5176         0.3048 %
TV5235         0.1139 %
TV5245         0.1189 %
TV5250         0.1519 %
TV5262         0.6550 %
TV5288         0.3333 %
TV5292         0.0627 %
TV5306         0.9624 %
TV2065         0.0535 %
TV3031         0.2116 %
TV3215         0.4557 %
TV3216         0.4116 %
TV4319         0.0732 %
TV4767         0.0916 %
TV3225         0.1151 %
