Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4803,10,TV4802,10,TV4789,10,3.176348E+01,0.3581,10,0,344,344,1.859473E+01,1.597051E+01
TV4804,10,,,,,0.000000E+00,0.8503,10,0,344,344,,,<
TV4805,10,TV4803,10,,,1.058478E+01,0.4355,10,0,344,344,1.058478E+01,
TV4807,9,TV4802,10,,,1.136574E+01,0.3460,9,0,339,339,1.136574E+01,
TV4808,6,,,,,0.000000E+00,0.5054,7,0,280,280,,,<
TV4809,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV4810,10,,,,,0.000000E+00,0.8849,10,0,344,344,,,<
TV4811,10,TV4826,9,,,1.813870E+01,0.7887,10,0,344,344,1.813870E+01,,<
TV4812,9,,,,,0.000000E+00,0.9949,10,0,343,343,,,<
TV4813,9,TV4815,9,TV4760,10,2.769515E+01,0.4693,9,0,339,339,1.613910E+01,1.032959E+01
TV4814,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV4815,9,TV4813,9,TV4760,10,2.769515E+01,0.4658,9,0,339,339,1.613910E+01,1.032959E+01,<
TV4816,8,,,,,0.000000E+00,0.9978,9,0,335,335,,,<
TV4818,9,,,,,0.000000E+00,0.7948,10,0,343,343,,,<
TV4819,9,,,,,0.000000E+00,0.7701,9,0,337,337,,,<
TV4821,10,,,,,0.000000E+00,0.5095,10,0,344,344,,,<
TV4822,9,,,,,0.000000E+00,0.6124,10,0,343,343,,,<
TV4823,10,TV4810,10,TV4796,10,2.676973E+01,0.9563,10,1,344,344,5.958029E+00,1.643551E+01,<
TV4824,10,,,,,0.000000E+00,0.9979,10,0,344,344,,,<
TV4826,9,TV4266,10,,,1.432536E+01,0.6505,10,0,343,343,1.432536E+01,,<
TV4827,9,TV4776,9,,,6.361490E+00,0.5284,9,1,337,337,6.361490E+00,,<
TV4828,9,,,,,0.000000E+00,0.5585,9,0,337,337,,,<
TV4830,10,TV4833,10,,,1.172430E+01,0.3067,10,0,344,344,1.172430E+01,
TV4833,10,TV4830,10,,,1.172430E+01,0.6844,10,0,344,344,1.172430E+01,,<
TV4834,9,,,,,0.000000E+00,0.9937,10,0,339,339,,,<
TV4835,10,TV4796,10,,,7.803858E+00,0.6265,10,2,344,344,7.803858E+00,,<
TV4838,10,,,,,0.000000E+00,0.9566,10,0,344,344,,,<
TV4839,10,TV4832,10,TV4537,10,1.282688E+01,0.6015,10,3,344,344,2.637718E+00,4.626701E+00,<
TV5001,9,,,,,0.000000E+00,0.9464,9,0,337,337,,,<
TV5022,6,,,,,0.000000E+00,0.4947,6,0,274,274,,,<
TV5025,10,,,,,0.000000E+00,0.6956,10,0,344,344,,,<
TV5026,10,,,,,0.000000E+00,0.6679,10,0,344,344,,,<
TV5038,10,,,,,0.000000E+00,0.7107,10,0,344,344,,,<
TV5040,10,,,,,0.000000E+00,0.9868,10,0,344,344,,,<
TV5044,10,,,,,0.000000E+00,0.9979,10,0,344,344,,,<
TV5054,7,,,,,0.000000E+00,0.5858,7,0,317,317,,,<
TV5057,9,,,,,0.000000E+00,0.8595,10,0,339,339,,,<
TV5058,10,,,,,0.000000E+00,0.9916,10,0,344,344,,,<
TV5059,10,TV5061,10,TV3234,10,2.874705E+01,0.4359,10,1,344,344,2.143021E+01,1.226994E+01
TV5060,10,TV5061,10,TV5059,10,3.924601E+01,0.9350,10,0,344,344,2.143021E+01,2.143021E+01
TV5061,10,TV5059,10,TV3234,10,2.874705E+01,0.4670,10,1,344,344,2.143021E+01,1.226994E+01
TV5063,10,,,,,0.000000E+00,0.4418,10,0,344,344,,,<
TV5077,9,,,,,0.000000E+00,0.7798,10,0,342,342,,,<
TV5082,10,,,,,0.000000E+00,0.4862,10,0,344,344,,
TV5083,6,,,,,0.000000E+00,0.9580,7,0,228,228,,,<
TV5085,10,,,,,0.000000E+00,0.9859,10,0,344,344,,,<
TV5088,9,,,,,0.000000E+00,0.6401,9,0,343,343,,,<
TV5114,7,,,,,0.000000E+00,0.6910,7,0,316,316,,,<
TV5115,9,,,,,0.000000E+00,0.7902,10,0,339,339,,,<
TV5117,10,TV5119,10,,,7.837700E+00,0.5902,10,1,344,344,7.837700E+00,,<
TV5119,10,,,,,0.000000E+00,0.3454,10,0,344,344,,,<
TV5122,10,,,,,0.000000E+00,0.9972,10,0,344,344,,,<
TV5124,10,TV4517,10,,,1.036821E+01,0.5283,10,1,344,344,1.036821E+01,,<
TV5127,10,,,,,0.000000E+00,0.9646,10,0,344,344,,,<
TV5128,10,,,,,0.000000E+00,0.7238,10,0,344,344,,,<
TV5129,7,TV4513,10,,,8.110847E+00,0.5497,7,0,318,318,8.110847E+00,
TV5130,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV5132,10,TV4259,9,,,7.336964E+00,0.6422,10,1,344,344,7.336964E+00,,<
TV5143,9,TV4798,10,,,7.165527E+00,0.4886,9,1,339,339,7.165527E+00,,<
TV5147,10,,,,,0.000000E+00,0.8480,10,0,344,344,,,<
TV5148,7,TV2772,7,TV5147,10,2.192435E+01,0.7880,7,0,317,317,6.058367E+00,1.315576E+01,<
TV5165,9,,,,,0.000000E+00,0.8851,10,0,337,337,,,<
TV5166,9,,,,,0.000000E+00,0.8111,9,0,339,339,,,<
TV5169,7,,,,,0.000000E+00,0.3778,7,0,317,317,,,<
TV5171,9,,,,,0.000000E+00,0.9944,9,0,337,337,,,<
TV5173,9,,,,,0.000000E+00,0.9899,10,0,339,339,,,<
TV5174,10,,,,,0.000000E+00,0.7429,10,0,344,344,,,<
TV5175,10,TV5172,10,TV5176,9,2.501359E+01,0.2719,10,1,344,344,7.284802E+00,1.775286E+01
TV5176,9,,,,,0.000000E+00,0.3937,9,0,337,337,,,<
TV5178,10,,,,,0.000000E+00,0.7576,10,0,344,344,,,<
TV5181,10,,,,,0.000000E+00,0.9874,10,0,344,344,,,<
TV5184,10,,,,,0.000000E+00,0.9955,10,0,344,344,,,<
TV5185,6,TV5024,9,,,7.092021E+00,0.3758,7,0,279,279,7.092021E+00,,<
TV5186,9,,,,,0.000000E+00,0.8881,9,0,339,339,,,<
TV5187,7,,,,,0.000000E+00,0.9402,7,0,317,317,,,<
TV5189,9,,,,,0.000000E+00,0.9952,10,0,339,339,,,<
TV5190,6,,,,,0.000000E+00,0.9358,6,0,246,246,,,<
TV5192,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV5194,10,,,,,0.000000E+00,0.7509,10,0,344,344,,,<
TV5196,10,,,,,0.000000E+00,0.9984,10,0,344,344,,,<
TV5197,10,,,,,0.000000E+00,0.9325,10,0,344,344,,,<
TV5198,10,,,,,0.000000E+00,0.9911,10,0,344,344,,,<
TV5199,7,,,,,0.000000E+00,0.7865,7,0,316,316,,,<
TV5200,10,,,,,0.000000E+00,0.3984,10,0,344,344,,,<
TV5203,10,,,,,0.000000E+00,0.9979,10,0,344,344,,,<
TV5204,10,,,,,0.000000E+00,0.9782,10,0,344,344,,,<
TV5207,10,,,,,0.000000E+00,0.9299,10,0,344,344,,,<
TV5209,10,,,,,0.000000E+00,0.9816,10,0,344,344,,,<
TV5219,10,,,,,0.000000E+00,0.9938,10,0,344,344,,,<
TV5227,9,TV4290,9,,,7.824658E+00,0.3450,10,1,343,343,7.824658E+00,,<
TV5230,10,,,,,0.000000E+00,0.9360,10,0,344,344,,,<
TV5231,10,,,,,0.000000E+00,0.9476,10,0,344,344,,,<
TV5232,10,TV5227,9,,,9.374711E+00,0.7016,10,0,344,344,9.374711E+00,,<
TV5233,10,,,,,0.000000E+00,0.9974,10,0,344,344,,,<
TV5234,9,,,,,0.000000E+00,0.9475,10,0,339,339,,,<
TV5235,10,TV5257,10,,,1.273245E+01,0.4652,10,1,344,344,1.273245E+01,
TV5238,9,TV4290,9,,,1.431709E+01,0.6130,10,0,343,343,1.431709E+01,,<
TV5242,10,,,,,0.000000E+00,0.8641,10,0,344,344,,,<
TV5243,10,,,,,0.000000E+00,0.8314,10,0,344,344,,,<
TV5245,8,,,,,0.000000E+00,0.7143,8,0,323,323,,,<
TV5247,10,TV4307,10,,,6.955514E+00,0.6698,10,1,344,344,6.955514E+00,,<
TV5249,10,TV5251,10,TV5118,10,1.487953E+01,0.4582,10,3,344,344,8.887354E+00,-3.487341E+00,<
TV5250,10,TV5256,10,,,1.372160E+01,0.4256,10,0,344,344,1.372160E+01,,<
TV5259,10,,,,,0.000000E+00,0.6701,10,0,344,344,,,<
TV5261,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV5262,10,TV5263,8,TV5259,10,2.168584E+01,0.5471,10,1,344,344,5.645998E+00,1.413812E+01,<
TV5266,10,,,,,0.000000E+00,0.9833,10,0,344,344,,,<
TV5267,7,,,,,0.000000E+00,0.7109,8,0,320,320,,,<
TV5274,10,TV5280,10,,,7.049845E+00,0.4061,10,2,344,344,7.049845E+00,
TV5276,6,,,,,0.000000E+00,0.9759,6,0,246,246,,,<
TV5280,10,TV5274,10,,,7.049845E+00,0.2954,10,2,344,344,7.049845E+00,,<
TV5286,7,,,,,0.000000E+00,0.7727,7,0,316,316,,,<
TV5287,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV5288,10,,,,,0.000000E+00,0.6667,10,0,344,344,,,<
TV5289,9,,,,,0.000000E+00,1.0000,10,0,343,343,,,<
TV5291,10,,,,,0.000000E+00,0.9745,10,0,344,344,,,<
TV5292,10,,,,,0.000000E+00,0.9357,10,0,344,344,,,<
TV5294,10,,,,,0.000000E+00,0.9640,10,0,344,344,,,<
TV5306,10,TV4817,10,TV5166,9,1.673067E+01,0.9225,10,1,344,344,6.139125E+00,4.966549E+00,<
TV5308,7,,,,,0.000000E+00,0.5334,7,0,316,316,,,<
TV5309,7,,,,,0.000000E+00,0.9140,7,0,316,316,,,<
TV5311,9,TV5303,10,TV4266,10,2.147675E+01,0.6782,10,1,343,343,1.393316E+01,5.940937E+00
TV5312,10,,,,,0.000000E+00,0.9872,10,0,344,344,,,<
TV5313,9,,,,,0.000000E+00,0.7044,9,0,337,337,,,<
TV2003,10,,,,,0.000000E+00,0.6850,10,0,344,344,,,<
TV2004,10,TV5080,9,,,7.903501E+00,0.4607,10,0,344,344,7.903501E+00,,<
TV2017,10,,,,,0.000000E+00,0.9644,10,0,344,344,,,<
TV2026,9,,,,,0.000000E+00,0.5369,9,0,339,339,,,<
TV2031,10,,,,,0.000000E+00,0.3515,10,0,344,344,,
TV2033,9,,,,,0.000000E+00,0.2562,9,0,337,337,,
TV2034,8,,,,,0.000000E+00,0.9932,9,0,323,323,,,<
TV2041,10,,,,,0.000000E+00,0.4784,10,0,344,344,,
TV2053,10,,,,,0.000000E+00,0.4276,10,0,344,344,,
TV2062,10,,,,,0.000000E+00,0.5726,10,0,344,344,,
TV2064,10,,,,,0.000000E+00,0.5514,10,0,344,344,,
TV2065,10,,,,,0.000000E+00,0.5164,10,0,344,344,,,<
TV2066,9,,,,,0.000000E+00,0.9988,9,0,337,337,,,<
TV2068,6,,,,,0.000000E+00,0.9521,6,0,246,246,,,<
TV2069,9,,,,,0.000000E+00,0.9891,9,0,339,339,,,<
TV2080,9,,,,,0.000000E+00,0.6503,9,0,337,337,,,<
TV2253,9,,,,,0.000000E+00,0.9802,9,0,337,337,,,<
TV2254,9,,,,,0.000000E+00,0.9023,10,0,339,339,,,<
TV2257,10,,,,,0.000000E+00,0.9184,10,0,344,344,,,<
TV2258,9,,,,,0.000000E+00,0.9940,9,0,337,337,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,323,323,,,<
TV2261,10,,,,,0.000000E+00,0.9775,10,0,344,344,,,<
TV2265,10,,,,,0.000000E+00,0.8048,10,0,344,344,,,<
TV2268,10,,,,,0.000000E+00,0.6295,10,0,344,344,,,<
TV2269,8,TV2271,8,TV2270,8,2.250688E+01,0.2791,9,0,336,336,9.711777E+00,1.573145E+01
TV2270,8,TV2271,8,TV2269,8,2.250688E+01,0.2981,9,0,336,336,9.711777E+00,1.573145E+01,<
TV2271,8,,,,,0.000000E+00,0.3184,9,0,323,323,,
TV2277,10,,,,,0.000000E+00,0.9918,10,0,344,344,,,<
TV2280,9,,,,,0.000000E+00,0.9168,9,0,342,342,,,<
TV2281,10,,,,,0.000000E+00,0.9241,10,0,344,344,,,<
TV2282,7,,,,,0.000000E+00,0.7879,7,0,317,317,,,<
TV2284,10,,,,,0.000000E+00,0.9958,10,0,344,344,,,<
TV2285,9,,,,,0.000000E+00,0.5590,10,0,339,339,,
TV2286,10,,,,,0.000000E+00,0.9922,10,0,344,344,,,<
TV2288,9,,,,,0.000000E+00,0.6923,10,0,337,337,,,<
TV2290,8,,,,,0.000000E+00,0.5770,8,0,325,325,,,<
TV2293,10,,,,,0.000000E+00,0.8111,10,0,344,344,,,<
TV2295,8,,,,,0.000000E+00,0.9676,8,0,327,327,,,<
TV2296,10,,,,,0.000000E+00,0.9982,10,0,344,344,,,<
TV2299,10,,,,,0.000000E+00,0.6411,10,0,344,344,,
TV2304,8,,,,,0.000000E+00,0.9343,8,0,324,324,,,<
TV2501,9,,,,,0.000000E+00,0.7156,9,0,339,339,,,<
TV2502,10,,,,,0.000000E+00,0.5749,10,0,344,344,,,<
TV2503,10,,,,,0.000000E+00,0.9473,10,0,344,344,,,<
TV2504,9,,,,,0.000000E+00,0.5934,9,0,337,337,,,<
TV2506,9,,,,,0.000000E+00,0.8048,10,0,337,337,,,<
TV2514,9,,,,,0.000000E+00,0.9758,9,0,343,343,,,<
TV2517,7,,,,,0.000000E+00,0.9980,7,0,317,317,,,<
TV2529,9,,,,,0.000000E+00,0.9036,9,0,339,339,,,<
TV2530,9,,,,,0.000000E+00,0.7130,9,0,339,339,,,<
TV2753,9,,,,,0.000000E+00,0.5166,9,0,339,339,,,<
TV2755,8,TV4782,10,TV2784,9,1.393048E+01,0.7915,8,1,323,323,3.446840E+00,4.957498E+00,<
TV2757,10,,,,,0.000000E+00,0.5180,10,0,344,344,,,<
TV2759,10,,,,,0.000000E+00,0.9654,10,0,344,344,,,<
TV2764,9,,,,,0.000000E+00,0.7516,10,0,337,337,,,<
TV2770,10,,,,,0.000000E+00,0.9616,10,0,344,344,,,<
TV2772,7,,,,,0.000000E+00,0.4525,7,0,317,317,,,<
TV2774,9,,,,,0.000000E+00,0.7594,10,0,337,337,,,<
TV2780,10,,,,,0.000000E+00,0.7315,10,0,344,344,,,<
TV2781,10,,,,,0.000000E+00,0.9526,10,0,344,344,,,<
TV2782,8,TV2775,9,TV2757,10,1.389413E+01,0.3271,8,1,323,323,3.990347E+00,7.218139E+00,<
TV2784,9,,,,,0.000000E+00,0.5243,10,0,337,337,,,<
TV2788,10,TV2780,10,TV2774,9,1.331139E+01,0.3762,10,3,344,344,5.581277E+00,6.064300E+00,<
TV2789,9,,,,,0.000000E+00,0.9160,9,0,337,337,,,<
TV2790,10,,,,,0.000000E+00,0.9911,10,0,344,344,,,<
TV2792,10,,,,,0.000000E+00,0.9468,10,0,344,344,,,<
TV2795,10,,,,,0.000000E+00,0.7070,10,0,344,344,,,<
TV2796,6,,,,,0.000000E+00,0.8589,6,0,246,246,,,<
TV2797,10,,,,,0.000000E+00,0.9893,10,0,344,344,,,<
TV2808,9,,,,,0.000000E+00,0.8454,9,0,342,342,,,<
TV2810,10,,,,,0.000000E+00,0.5454,10,0,344,344,,,<
TV2812,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV3002,10,,,,,0.000000E+00,0.9966,10,0,344,344,,,<
TV3005,7,,,,,0.000000E+00,0.5936,7,0,317,317,,,<
TV3006,10,,,,,0.000000E+00,0.9970,10,0,344,344,,,<
TV3007,10,,,,,0.000000E+00,0.9882,10,0,344,344,,,<
TV3008,10,TV3010,10,,,1.488959E+01,0.7023,10,0,344,344,1.488959E+01,
TV3010,10,TV3020,9,TV3017,10,2.283774E+01,0.4456,10,1,344,344,1.257968E+01,8.595804E+00
TV3012,9,,,,,0.000000E+00,0.7240,9,0,337,337,,,<
TV3014,10,,,,,0.000000E+00,0.9989,10,0,344,344,,,<
TV3015,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV3016,10,,,,,0.000000E+00,0.7629,10,0,344,344,,,<
TV3017,10,TV2271,8,TV3001,10,1.931679E+01,0.6838,10,1,344,344,9.874489E+00,6.626222E+00,<
TV3018,9,,,,,0.000000E+00,0.9995,10,0,337,337,,,<
TV3019,10,,,,,0.000000E+00,0.7576,10,0,344,344,,,<
